Boyd,An,903-04-2620,53583,54678,59414
Chen,Andrew,995-52-6987,57056,56361,60360,58819
Delgado,Chetan,992-63-3996,57056,60359,58820
Hong,Frederick,992-84-9667,61802,57058,60360,58841
Lee,Daniel,995-59-4469,61750,60189,60360,58890
Li,Garret,995-65-9809,60853,60295,60360,59363
Mangan,Janet,995-59-4760,60855,61367,59383
McCullough,Jason,995-83-8060,51909,61626,61637,60364
Ng,Joey,995-46-4586,57056,61670,61674,60364
Park,Komal,995-50-9519,61702,59420
Qi,Kyle,995-66-0733,52375,61703,61735,60193
Robinson,Lucia,995-45-2022,61743,60199
Saeteurn,Nancy,995-59-6454,60360
San Emeterio Nateras,Nicholas,995-16-3033,53415,61745,61807,60364
Shah,Oscar,995-45-2828,53658,61784
Tafolla,Peter,995-78-6086,53694,61703,60360,60857
Tat,Ross,995-53-2052,57056,61703,60851,60860
Tiru,Ryan,993-96-8709,53878,61703,61368,61284
Waters,Tairi,992-00-0000,53889
Zuniga,Ying Bei,994-19-7964,53890,61877,57069,61290
